Comparison for osu_put_bw between Native and Container OSU Latency Test
----------------------------------------------------------------------
Size	Native Latency (us)	Container Latency (us)	Overhead (%)
0	5.6		5.6		0%
1	1.08		4.08		277.00%
2	2.18		8.13		272.00%
3	4.34		16.27		274.00%
4	8.75		32.46		270.00%
5	17.42		64.91		272.00%
6	34.07		120.49		253.00%
7	67.34		242.18		259.00%
8	131.39		470.00		257.00%
9	245.66		767.69		212.00%
10	484.49		1405.50		190.00%
11	893.67		2498.08		179.00%
12	1561.46		3854.85		146.00%
13	1749.17		5251.73		200.00%
14	2295.99		5813.10		153.00%
15	2506.92		5983.31		138.00%
16	2707.90		6199.42		128.00%
17	2837.88		6228.16		119.00%
18	2938.95		6248.81		112.00%
19	2943.35		6186.52		110.00%
20	2841.08		5992.98		110.00%
21	2766.96		5969.48		115.00%
22	2709.67		6018.17		122.00%
23	2656.46		5984.32		125.00%
