Comparison for osu_alltoall between Native and Container OSU Collective Benchmark
-------------------------------------------------------------------------
Size	Native Latency (us)	Container Latency (us)	Overhead (%)
0	5.6		5.6		0%
1	25.26		25.60		1.00%
2	24.68		25.23		2.00%
3	24.86		25.12		1.00%
4	25.16		25.37		0%
5	25.67		25.98		1.00%
6	27.30		27.25		0%
7	29.01		29.34		1.00%
8	33.36		33.75		1.00%
9	43.14		43.44		0%
10	275.58		276.40		0%
11	293.98		294.99		0%
12	350.07		349.64		0%
13	511.56		512.26		0%
14	773.64		771.47		0%
15	1138.33		1133.65		0%
16	1777.60		1869.32		5.00%
17	5252.79		5239.61		0%
18	11303.14		11100.04		-1.00%
19	22182.47		21883.15		-1.00%
20	44547.74		44263.09		0%
21	86018.51		86023.49		0%
