Comparison for osu_put_bw between Native and Container OSU Latency Test
----------------------------------------------------------------------
Size	Native Latency (us)	Container Latency (us)	Overhead (%)
0	5.6		5.6		0%
1	25.10		22.62		-9.00%
2	49.41		45.40		-8.00%
3	100.36		91.15		-9.00%
4	198.80		183.18		-7.00%
5	421.76		367.53		-12.00%
6	837.98		740.58		-11.00%
7	1590.41		1477.04		-7.00%
8	3212.51		2847.62		-11.00%
9	6223.48		5365.63		-13.00%
10	10729.36		9460.59		-11.00%
11	16950.84		15095.73		-10.00%
12	23023.73		22299.54		-3.00%
13	28514.12		27152.58		-4.00%
14	20421.65		20943.61		2.00%
15	14906.91		14205.72		-4.00%
16	12896.77		12750.64		-1.00%
17	12666.49		12422.44		-1.00%
18	11854.71		11516.36		-2.00%
19	6114.55		5967.93		-2.00%
20	3707.46		3709.74		0%
21	3079.46		3079.51		0%
22	3082.60		3081.39		0%
23	3087.35		3084.48		0%
